,ID,Address,Rental Price,Rooms,Bath,SQFT
146,4007743,122 Saint Marks Place #2,3500.0,2.0,1.0,
147,4001802,208 East 6th Street #20,3750.0,1.0,1.0,
148,3996546,328 East 9th Street #APT3A,3875.0,2.0,1.0,
149,4003140,247 East Tenth Street #6,3999.0,1.0,1.0,
150,3975867,310 East Second Street #3L,3700.0,1.0,1.0,
151,3960726,200 East 7th Street #5B,3600.0,2.0,1.0,
152,3997863,121 East 12th Street #5F,3795.0,1.0,1.0,
153,3969110,229 1st Avenue #3B,3650.0,1.0,1.0,400.0
154,3998050,332 East 9th Street #19,3900.0,1.0,1.0,
155,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
156,3980194,338 East 13th Street #4C,4000.0,1.0,1.0,
157,4004699,158 East 7th Street #D6,3675.0,1.0,1.0,
158,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
159,3986442,19 Saint Mark's Place #3L,3850.0,1.0,1.0,
160,4007595,115 East 9th Street #10M,3695.0,0.0,1.0,
161,4007016,126 East 7th Street #3CF,3699.0,1.0,1.0,
162,3954001,262 East Second Street #4C,3700.0,2.0,1.0,
163,3972722,240 East 9th Street #3,3700.0,2.0,1.0,
164,4002278,220 Avenue A #5C,3750.0,2.0,1.0,
165,4007933,221 E 11th Street #2A,3750.0,1.0,1.0,
166,3931219,95 East 7th Street #13,3775.0,1.0,1.0,340.0
167,4007753,8 Saint Mark's Place #17B,4295.0,2.0,1.0,
168,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
169,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
170,3974363,324 East 13th Street #5,3800.0,2.0,1.0,
171,3983384,512 East 13th Street #3A,3800.0,1.0,1.0,
172,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
173,3987688,67 Saint Marks Place #1A,3800.0,2.0,2.0,
174,3989255,135 Avenue A #5F,3800.0,1.0,1.0,675.0
175,3996142,608 East 11th Street #2B,3800.0,2.0,1.0,
176,4002991,224 Avenue B #28,3800.0,2.0,1.0,
177,4003377,58 Saint Mark's Place #7,3800.0,1.0,1.0,
178,3944432,200 East 11th Street #1103,4050.0,0.0,1.0,
179,4002624,306 East Fifth Street #1,4100.0,1.0,1.0,
180,3954372,619 East Fifth Street #17B,3845.0,2.0,1.0,
181,3976371,425 East 13th Street #4D,3850.0,0.0,1.0,
182,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
183,3993756,61 East 3rd Street #14,3300.0,1.0,1.0,
184,4008455,610 East 9th Street #2R2,3850.0,2.0,1.0,
185,4002136,221 East 10th Street #21,3895.0,1.0,1.0,
186,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
187,4002142,221 East 10th Street #5,3895.0,2.0,1.0,
188,3876293,20 a Avenue #5L,3900.0,0.0,1.0,370.0
189,3998050,332 East 9th Street #19,3900.0,1.0,1.0,
190,3999210,609 East 11th Street #FOURB,3900.0,2.0,1.0,
191,4003287,246 East Tenth Street #1,3900.0,1.0,1.0,
192,4004836,85 Fourth Avenue #2H,3900.0,0.0,1.0,
193,3976936,305 East 11th Street #2E,4494.0,1.0,1.0,683.0
194,3990870,738 East 6th Street #3B,4495.0,2.0,2.0,
195,3995893,256 East 10th Street #1X,3975.0,2.0,2.0,
196,3998119,402 East 12th Street #7,3400.0,1.0,1.0,
197,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
198,3962856,540 East 5th Street #1,3995.0,3.0,2.0,
199,3975107,540 East 5th Street #2R,3995.0,3.0,1.0,
200,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
201,3983076,713 East 9th Street #1D,3995.0,2.0,1.5,1100.0
202,3983261,46 Avenue B #18,3995.0,3.0,1.0,
203,3986585,46 East 1st Street #1C,3995.0,0.0,1.0,
204,3996343,45 Avenue B #3,3995.0,2.0,1.0,
205,4007975,86 East 4th Street #40,3995.0,2.0,1.0,
206,3967658,8 Saint Mark's Place #THREE,4495.0,2.0,2.0,
207,4009459,8 Saint Mark's Place #2,4495.0,2.0,2.0,
208,3976069,339 East 12th Street #3,3999.0,2.0,1.0,
209,3988084,96 East 7th Street #4,3999.0,2.0,1.0,
210,4007094,77 East 3rd Street #16D,3499.0,2.0,1.0,
211,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
212,3996610,339 East 12th Street #16,3999.0,2.0,1.0,
213,3903179,217 East 5th Street #3,4000.0,1.0,1.0,650.0
214,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
215,3989211,85 First Avenue #7B,4000.0,1.0,1.0,
216,3991733,32 Saint Marks Place #7,4000.0,2.0,2.0,
217,3996750,222 East 12th Street #5C,4000.0,1.0,1.0,
218,3999657,168 Avenue B #2S,4000.0,2.0,1.0,
219,4001920,236 East Third Street #2C,4000.0,3.0,1.0,
220,4009467,103 Saint Marks Place #5E,4000.0,2.0,1.0,
221,3973110,222 East Third Street #GB,4050.0,1.0,1.0,
222,4008449,610 East 9th Street #2R1,4095.0,1.0,1.0,
223,3968793,328 East 14th Street #20,4100.0,2.0,1.0,
224,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
225,3981099,418 East 9th Street #4A,4500.0,3.0,1.0,
226,3985617,319 East 8th Street #3C,4150.0,2.0,1.0,
227,4007225,332 East 4th Street #22,5000.0,3.0,1.0,
228,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
229,3843852,410 E 13th Street #4E,4195.0,2.0,1.0,
230,4006637,222 East Third Street #1A,4195.0,2.0,1.0,
231,3986318,127 Fourth Avenue #6H,4200.0,1.0,1.0,
232,4003937,49 Avenue B #2,4200.0,2.0,1.0,
233,4005554,158 First Avenue #2C,4200.0,3.0,1.0,900.0
234,3966226,379 East Tenth Street #4A,4595.0,1.0,1.0,
235,3991349,333 East 13th Street #1,4250.0,2.0,1.0,
236,4002908,522 East 11th Street #4/5,4250.0,3.0,1.0,
237,4003236,394 East 8th Street #3A,4250.0,2.0,1.0,
238,3924509,101 East 10th Street #6G,3800.0,0.0,1.0,
239,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
240,3916106,309 E 8th Street #D2,4295.0,2.0,1.0,
241,3951345,410 E 13th Street #3F,4295.0,2.0,1.0,
242,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
243,3997004,42 Avenue A #3E,4295.0,2.0,1.0,
244,4006678,371 East Tenth Street #3C,4295.0,1.0,1.0,
245,4008724,410 East 13th Street #4E,4295.0,2.0,1.0,
246,4009484,309 East 8th Street #3C1,4295.0,2.0,1.0,
247,3926388,234 East 3rd Street #6B,4300.0,2.0,1.0,
248,3996740,610 East Ninth Street #6,4300.0,2.0,1.0,
249,3997110,60 Avenue B #2C,4310.0,2.0,1.0,470.0
250,3979707,306 East Fifth Street #13,4600.0,2.0,1.0,
251,4007913,14 First Avenue #3A,4800.0,2.0,1.0,
252,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
253,3960780,101 East 10th Street #7D,5100.0,1.0,1.0,
254,3997221,58 East 1st Street #3B,4395.0,2.0,1.0,
255,4007756,8 Saint Mark's Place #16,4395.0,2.0,1.0,
256,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
257,4007934,422 E 9th Street #8,4395.0,2.0,1.0,
258,4005798,45 East 7th Street #2A,4400.0,0.0,1.0,457.0
259,4007280,87 East 4th Street #2D,4400.0,2.0,1.0,
260,4007218,332 East 4th Street #55,5300.0,3.0,2.0,
261,4001845,200 Second Avenue #22,4695.0,2.0,1.0,
262,3995333,138 East 12th Street #8L,4475.0,0.0,1.0,422.0
263,3990188,251 East 2nd Street #5B,4775.0,1.0,1.0,
264,3993218,222 East Third Street #5C,4495.0,2.0,1.0,
265,3972680,504 East 6th Street #5,4500.0,2.0,1.0,
266,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
267,3989057,636 East 11th Street #1L,8500.0,4.0,4.0,
268,3981099,418 East 9th Street #4A,4500.0,3.0,1.0,
269,3994472,19 Saint Marks Place #6A,4500.0,1.0,1.0,
270,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
271,4002507,143 First Avenue #3,4500.0,2.0,1.0,
272,4008306,407 East 12th Street #5M,4500.0,1.0,1.5,
273,4006194,210 First Avenue #3F,5000.0,2.0,1.0,
274,3769073,145 4th Avenue #10L,4590.0,1.0,1.0,636.0
275,4003756,62 Avenue B #3D,4600.0,1.0,1.0,
276,3998813,399 East 8th Street #EIGHT,5000.0,2.0,1.0,
277,3982295,41 Avenue B #5B,4645.0,2.0,1.0,
278,4001023,83 East Seventh Street #3A,4660.0,2.0,1.0,
279,3989859,405 East 12th Street #7,4700.0,3.0,1.0,
280,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
281,4006194,210 First Avenue #3F,5000.0,2.0,1.0,
282,3995090,526 East 6th Street #19,4750.0,3.0,1.0,
283,4004256,19 Saint Mark's Place #3J,4750.0,2.0,1.0,
284,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
285,4007939,47 1/2 E 1st Street #2R,4750.0,2.0,2.0,
286,3960780,101 East 10th Street #7D,5100.0,1.0,1.0,
287,3901661,442 East Ninth Street #2,4800.0,2.0,2.0,
288,3975828,433 East 13th Street #55GN,5600.0,1.0,1.0,623.0
289,4005072,70 East 1st Street #1,4800.0,3.0,1.0,
290,4008757,39 East 1st Street #1,4800.0,2.0,1.5,
291,3959167,518 East 13th Street GRDN-EAST,4850.0,2.0,2.0,
292,3999029,520 East 6th Street #2,4850.0,3.0,1.0,
293,4007660,170 East 2nd Street #C,4850.0,3.0,1.5,
294,3981099,418 East 9th Street #4A,4500.0,3.0,1.0,
295,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
296,3958684,521 E 5th Street #B,4895.0,2.0,1.0,
297,3943417,634 East 11th Street #31,5500.0,3.0,2.0,
298,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
299,3974912,337 East 13th Street #2,4995.0,3.0,1.0,
300,3984375,531 East 11th Street #1C,4995.0,3.0,1.0,
301,4003012,224 Avenue B #24,4995.0,3.0,1.0,
302,4007484,528 East 6th Street #GARDEN,4995.0,2.0,1.0,900.0
303,3940025,127 Fourth Avenue #PHA,5000.0,1.0,1.0,
304,3967192,202 East 13th Street #2,5000.0,2.0,2.0,
305,3970434,647 East 11th Street #17,5000.0,3.0,1.5,
306,3980445,244 East Seventh Street #1,5000.0,2.0,1.0,
307,4000173,170 1st Avenue #2,5040.0,1.0,1.0,470.0
308,3981099,418 East 9th Street #4A,4500.0,3.0,1.0,
309,3924509,101 East 10th Street #6G,3800.0,0.0,1.0,
310,4000173,170 1st Avenue #2,5040.0,1.0,1.0,470.0
311,3985368,133 East Fourth Street #5,5100.0,2.0,1.0,
312,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
313,4006717,170 1st Avenue #6,5130.0,1.0,1.0,470.0
314,4006672,152 Second Avenue #4C,5135.0,2.0,1.0,
315,3873349,410 E 13th Street #3D,5150.0,3.0,1.0,
316,3990131,145 4th Avenue #10C,5190.0,1.0,1.0,700.0
317,4007767,619 East 5th Street #1,5195.0,3.0,1.0,
318,3974354,529 East 13th Street #4B,5200.0,3.0,2.0,
319,4006983,125 East 12th Street #4H,5200.0,1.0,1.0,
320,3966086,85 East 10th Street #PHK,5700.0,1.0,1.0,
321,3995880,112 East 10th Street #1,5250.0,1.0,1.0,
322,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
323,4004403,322 East Sixth Street #1,2400.0,0.0,1.0,
324,4003516,229 East 13th Street #LB,5250.0,2.0,1.5,
325,4006404,280 East 10th Street #24,5250.0,3.0,1.0,
326,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
327,3983331,202 E 13th Street #5H,5295.0,2.0,2.0,
328,4008709,410 East 13th Street #5A,5295.0,3.0,1.0,
329,3962162,633 East 6th Street #1W,5300.0,3.0,2.0,
330,3975839,433 East 13th Street #66CN,5769.0,1.0,1.0,635.0
331,4007932,202 E 13th Street #3F,5395.0,3.0,2.0,
332,3943022,425 East 13th Street #5J,5400.0,1.0,1.5,870.0
333,3994095,151 Second Avenue #1C,5400.0,3.0,1.0,
334,3997216,7 Second Avenue #3C,5400.0,0.0,1.0,
335,3950463,102 East 7th Street #3,5480.0,2.0,1.0,650.0
336,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
337,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
338,4007937,529 E 6th Street #2D/3D,5495.0,3.0,2.0,
339,4004645,310 East Second Street #10L,5500.0,2.0,2.0,
340,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
341,3999413,43 Avenue C #4C,5525.0,3.0,1.0,
342,4009119,510 East 14th Street #515,5800.0,1.0,1.0,
343,4001590,332 East 4th Street #33,6700.0,4.0,3.0,
344,3937202,170 1st Avenue #7,5600.0,2.0,1.0,640.0
